"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality","Collector","identified _ by","identified _ date","Record number","raw _ sampling _ protocol","event _ id","Occurrence status assumed to be present","Coordinates dont match supplied country","Country inferred from coordinates","First of the month","First of the year","Geodetic datum assumed WGS84","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Min and max altitude reversed","Name not in national checklists","Supplied country not recognised","Collection code not recognised","Institution code not recognised","Type status not recognised","Supplied coordinates are zero","Zero latitude","Zero longitude"
"ef9a80f3-10a9-4878-8724-0af3eb490790","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00642208","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","JBRJ","RB","Serra do Cipó, Km 118 da estrada para o Morro do Pilar, afloramento de quartzito.","","","","","","","Brasil","","","","","","","1976","06","PreservedSpecimen","PreservedSpecimen","present","","true","","G. Martinelli","R.C. Forzza","2001-01-01","914","","","true","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false"
"89e15a74-8d97-4a15-b24e-d35605aa15d0","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00572475","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","JBRJ","RB","estr. Mato Verde. a montezuma, alto da serra.","-15.3866666","-42.7788889","","-15.3866666","-42.7788889","","Brasil","","998.0","998.0","","","","2008","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","E. Leme; C.C. Paula","-42.7788889","","7457","","","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"86056e6b-dfd6-42e1-8da3-65d001217f40","dr425","Base de dados do Herbário Rioclarense da UNESP","in43","Universidade Estadual Paulista","co197","Herbário Rioclarense","CC-BY-NC","16144","314074","Encholirium subsecundum","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","Universidade Estadual Paulista, UNESP","HRCB","Serra do Cipó","-19.2833329999999989","-43.6000000000000014","","-19.283333","-43.6","","","","","","","","","1990","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","Faria, G.M.","","","0","","","true","false","false","false","false","true","false","true","false","false","true","true","false","false","false","false","false","false"
"824493bc-7e21-4c1e-a359-b4a827a40c07","dr266","Herbário da Universidade Federal de Minas Gerais","in19","Universidade Federal de Minas Gerais","co132","Herbário da Universidade Federal de Minas Gerais","CC-BY-NC 4.0 (Int)","191653","314074","Encholirium subsecundum","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","Universidade Federal de Minas Gerais","BHCB","Parque Estadual do Pico do Itambé","-18.456944","-43.3394440000000003","","-18.456944","-43.339444","","","","938.0","938.0","","","","2018","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","Souza, JAM; Paiva, JAM; Silva, SHA","","2018-08-17","307","","","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"a26b71c8-57a9-4a8c-b1aa-d7a635ca7638","dr242","Herbário do Museu Botânico Municipal de Curitiba - MBM","in41","Museu Botânico Municipal","co131","Herbário do MBM","","24001","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","MBM","HMBM","Í_x0002_","0","0","","","","","","","0.0","0.0","","","","1972","08","PreservedSpecimen","PreservedSpecimen","present","","true","","Hatschbach, G.","Smith, L.B.","","29883","","","true","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","true","true"
"f3ba55c1-2be9-4e26-9c10-9cd6a172f841","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00642223","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","JBRJ","RB","Rio Prata.","","","","","","","Brasil","","","","","","","1955","05","PreservedSpecimen","PreservedSpecimen","present","","true","","Edmundo Pereira","R.C. Forzza","2001-01-01","1655","","","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false"
"dd386a04-a562-4b87-b9d3-b83b5ef512ca","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00641754","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","JBRJ","RB","Serra do Cipó.","","","","","","","Brasil","","","","","","","1974","05","PreservedSpecimen","PreservedSpecimen","present","","true","","G. Martinelli","R.C. Forzza","2001-01-01","278","","","true","false","false","false","false","false","false","false","false","false","true","false","false","false","true","false","false","false"
"cdd3643d-fa7f-4a45-8708-cc44b336291e","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00568933","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","JBRJ","RB","Arredores de Datas. Afloramentos rochosos a NO de Datas.","-18.4530556","-43.6502778","","-18.4530556","-43.6502778","","Brasil","","1252.0","1252.0","","","","2009","05","PreservedSpecimen","PreservedSpecimen","present","","true","true","M.M. Saavedra; R.C. Forzza, L. Menini Neto, J.C. Silva","R.C. Forzza","2009-01-01","894","","","true","false","false","false","false","true","true","false","false","false","true","false","false","false","false","false","false","false"
"bfaf59e4-149e-41da-9dc2-bf1bf01c54de","dr286","Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","in72","Instituto de Botânica de São Paulo","co156","Herbário Maria Eneyda P. Kaufmann Fidalgo","CC-BY-NC 4.0 (Int)","276577","314074","Encholirium subsecundum","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","Instituto de Botânica","SP","Serra do Cipó, Km 109 da Rodovia Belo Horizonte - Conceição do Mato Dentro. Próximo à estrada da Usina Dr. Pacífico Mascarenhas.","","","","","","","Brasil","","","","","","","1991","05","PreservedSpecimen","PreservedSpecimen","present","","true","","Pirani, JR; et al.","Forzza, RC","2001-01-01","CFSC12351","","","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false"
"07401437-d415-4c2f-880f-84778a55a295","dr245","","","","","","","6787","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","UNICAMP","UEC","Estrada para juramento, a 3km SE de Mont","0","0","","","","","","","0.0","0.0","","","","1977","05","PreservedSpecimen","PreservedSpecimen","present","","true","","Gibbs, P.E.; Abbott, R.; Andrade, J.B.","Forzza, R.C.","2001-01-01","5143","","","true","true","false","false","false","true","false","false","false","false","true","false","false","false","false","true","true","true"
