"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality","Collector","identified _ by","identified _ date","Record number","raw _ sampling _ protocol","event _ id","Occurrence status assumed to be present","Country inferred from coordinates","Coordinates derived from verbatim coordinates","First of the month","Geodetic datum assumed WGS84","Georeferenced after occurrence date","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Min and max altitude reversed","Name not in national checklists","Supplied country not recognised","Collection code not recognised","Institution code not recognised","Type status not recognised","Unrecognized geodetic datum"
"dadb57f2-3bab-4b6a-b40f-e20eed16a73c","dr259","Base de dados do Herbário Alexandre Leal Costa da UFBA","in12","Universidade Federal da Bahia","co68","Herbário Alexandre Leal Costa da UFBA","CC-BY-NC","21622","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFBA","ALCB","Serra Geral, Sítio Água Preta","-13.8","-41.28333","","-13.8","-41.28333","","","","-9999.0","0.0","","","","1989","09","PreservedSpecimen","PreservedSpecimen","present","","true","true","Gouveia, EP de","Queiroz, LP de","","s/n","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"c0186f96-020a-4907-b22a-5d3298dd675e","dr215","","","","","","","RB00548390","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","JBRJ","RB","Fazenda Barreirinhas.","-10.266670","-38.783330","SIRGAS 2000","-10.26667","-38.78333","","Brazil","","","","","","","2006","09","PreservedSpecimen","PreservedSpecimen","present","","true","true","M. Oliveira","J.S.Silva","","2545","","","true","false","false","false","false","true","false","false","false","false","true","true","false","false","false","true"
"9e3fb8cd-6539-477a-a390-f70cac632db7","dr247","Base de dados do Herbário da UnB","","","","","","140090","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","HUB","HUB","Proximidades cidade de Lençóis","-12.25","-42.22","","-12.25","-42.22","","","","-9999.0","0.0","","","","1992","09","PreservedSpecimen","PreservedSpecimen","present","","true","true","Coradin, LC","Simon, MF","2000-01-01","8537","","","true","false","false","false","true","false","false","false","false","false","true","true","true","true","false","false"
"9be02f55-22e1-4242-adf0-16446297945e","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00548390","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","JBRJ","RB","Fazenda Barreirinhas.","-10.2666667","-38.7833333","","-10.2666667","-38.7833333","","Brasil","","","","","","","2006","09","PreservedSpecimen","PreservedSpecimen","present","","true","true","M. Oliveira","J.S.Silva","2011-04-28","2545","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"4bb28f92-5d39-4656-8df3-0326a4026aea","dr261","Base de dados do Herbário do Centro de Pesquisas do Cacau","in45","Comissão Executiva do Plano da Lavoura Cacaueira","co140","Herbário do Centro de Pesquisas do Cacau","CC-BY-NC","72603","291191","Mimosa lewisii","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","Sto. Antonio. Presença de areas umidas.","-12.3833330000000004","-37.8833330000000004","","-12.383333","-37.883333","","","","","","","","","1996","09","PreservedSpecimen","PreservedSpecimen","present","","true","true","M. L. Guedes","M. L. Guedes","","4040","","","true","false","false","false","true","false","false","false","false","false","true","true","false","false","false","false"
"177cf2d5-96eb-4b7f-8c12-120fc4d883c7","dr522","Herbário do Trópico Semiárido","in147","Embrapa Semiárido","co316","Herbário do Trópico Semiárido","CC-BY-NC 4.0 (Int)","904","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","Empresa Brasileira de Pesquisa Agropecuária","HTSA","3,5 Km Morro do Chapéu - Salvador.","-11.9758329999999997","-41.2852779999999981","","-11.975833","-41.285278","","","","0.0","0.0","","","","1985","09","PreservedSpecimen","PreservedSpecimen","present","","true","true","Fotius, G.; Sá, I.B. & Wanderley, M.G.L. das","","","4172","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"0d6a186f-28a4-4c58-a048-ed2b55b88c71","dr259","Base de dados do Herbário Alexandre Leal Costa da UFBA","in12","Universidade Federal da Bahia","co68","Herbário Alexandre Leal Costa da UFBA","CC-BY-NC","67729","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFBA","ALCB","Piemonte da Diamantina","-11.63583","-41.00139","","-11.63583","-41.00139","","","","0.0","767.0","","","","2004","09","PreservedSpecimen","PreservedSpecimen","present","","true","true","Roque, N; Alunos de Botânica III","Guedes, ML","","1119","","","true","false","false","false","true","false","false","false","false","true","true","false","false","false","false","false"
"059f0d2b-576a-41f1-8ee4-54dbfcdb95d1","dr259","Base de dados do Herbário Alexandre Leal Costa da UFBA","in12","Universidade Federal da Bahia","co68","Herbário Alexandre Leal Costa da UFBA","CC-BY-NC","59876","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFBA","ALCB","Piemonte da Diamantina, Caminho para Jacobina","-11.55","-41.15","","-11.55","-41.15","","","","-9999.0","0.0","","","","2002","09","PreservedSpecimen","PreservedSpecimen","present","","true","true","Guedes, ML; Loureiro, DM; Guaré, F; et al.","Guedes, ML","","9877","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"03f9249f-cd2a-4b69-bc4d-b3a93f06d448","dr411","Herbário UFP Geraldo Mariz","in15","Universidade Federal de Pernambuco","co209","Herbário Geraldo Mariz","CC-BY-NC 4.0 (Int)","45209","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFPE","UFP","Fazenda Barreirinhas, Reserva Biológica Arara-azul-de-Lear. Caatinga arbustivo-arbórea espaçada. Solo argilo-arenoso. Área: 34.225 ha.","-10.266667","-38.7833329999999989","","-10.266667","-38.783333","","","","","","","","","2006","09","PreservedSpecimen","PreservedSpecimen","present","","true","true","Oliveira, M","Córdula, E","2008-03-16","2545","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"fb8ecac6-d89b-4c44-b64e-927dbbc02276","dr287","Base de dados do Herbário do IPA","in82","Instituto Agronômico de Pernambuco","co157","Herbário Dárdani de Andrade Lima","CC-BY-NC","84053","291191","Mimosa lewisii","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","IPA","HIPA","Parque Nacional do Catimbau","-8.40000000000000036","-37.1583329999999989","","-8.4","-37.158333","","","","","","","","","2009","07","PreservedSpecimen","PreservedSpecimen","present","","true","true","Barbosa, J.I.S.; Silva, A. .G.; Silva, M. .V.; Santana, T.; Silva, A. .G.; Silva, M. .V.; Santana, T.","Gomes-Silva, A.","2010-03-02","59","","","true","false","false","false","true","false","false","false","false","false","true","true","false","false","false","false"
