x,y,subsecundum_PA1_RUN8 logistic values
-39.0291666667418,-8.895833333121,8.003535E-4
-38.1208333334018,-8.895833333121,9.457896E-6
-40.3041666667512,-8.9124999997878,1.46468E-4
-41.5791666667607,-8.92916666645461,5.8688103E-5
-39.6791666667466,-8.92916666645461,0.043228377
-38.9791666667415,-8.92916666645461,7.3228567E-4
-37.4791666667304,-8.92916666645461,7.0216832E-9
-37.3208333333959,-8.92916666645461,1.8541078E-8
-42.029166666764,-8.93749999978802,7.568979E-6
-40.1208333334166,-8.93749999978802,8.7594124E-4
-38.6291666667389,-8.93749999978802,3.7123423E-4
-39.8541666667479,-8.94583333312142,0.088241875
-38.6708333334059,-8.94583333312142,8.618602E-5
-38.504166666738,-8.94583333312142,0.0021096168
-39.6291666667463,-8.95416666645483,0.020923296
-39.3958333334112,-8.96249999978823,0.013689206
-41.7708333334287,-8.97083333312164,1.8850862E-5
-41.3708333334258,-8.97083333312164,4.9363236E-5
-38.9708333334081,-8.97083333312164,8.3739386E-4
-38.7625000000732,-8.97083333312164,5.837633E-5
-40.6708333334206,-8.97916666645504,1.8524712E-4
-40.3541666667516,-8.97916666645504,5.3660053E-5
-38.062500000068,-8.97916666645504,8.193584E-8
-37.1708333333948,-8.97916666645504,4.126994E-9
-41.9958333334304,-8.98749999978844,6.483629E-6
-40.3375000000848,-8.98749999978844,7.726126E-5
-38.1541666667354,-8.98749999978844,1.0692632E-6
-41.0041666667564,-8.99583333312185,3.8025137E-5
-39.9458333334153,-8.99583333312185,0.017438171
-41.5208333334269,-9.00416666645526,1.3253861E-4
-39.9041666667483,-9.00416666645526,0.06944856
-41.8791666667629,-9.01249999978866,4.764662E-6
-41.079166666757,-9.01249999978866,3.2831E-5
-39.4875000000785,-9.01249999978866,0.005751245
-38.379166666737,-9.01249999978866,1.3786502E-4
-37.5958333333979,-9.01249999978866,1.3781487E-9
-42.0041666667638,-9.02083333312206,3.5345824E-6
-37.9291666667337,-9.02083333312206,4.814747E-10
-41.6541666667612,-9.02916666645547,2.9994953E-5
-41.0291666667566,-9.02916666645547,2.7990978E-5
-40.9291666667559,-9.02916666645547,6.71018E-5
-40.3791666667518,-9.02916666645547,3.6125442E-5
-40.0708333334162,-9.02916666645547,0.00147136
-42.2958333334326,-9.03749999978887,5.6883114E-6
-39.2708333334103,-9.03749999978887,0.0011380947
-38.2208333334025,-9.03749999978887,3.645495E-7
-38.0875000000682,-9.03749999978887,5.2130793E-9
-41.6958333334282,-9.04583333312228,1.6277194E-5
-41.4875000000933,-9.04583333312228,5.3300075E-5
-40.6125000000869,-9.04583333312228,5.4971126E-5
-39.6291666667463,-9.04583333312228,0.006280069
-38.77916666674,-9.05416666645568,7.626272E-5
-40.1375000000833,-9.06249999978909,3.856644E-4
-37.0541666667272,-9.06249999978909,9.385594E-9
-41.754166666762,-9.07083333312249,7.6759825E-6
-37.2291666667285,-9.07916666645589,1.6078272E-9
-42.2791666667658,-9.0874999997893,4.4875615E-6
-40.8791666667555,-9.0874999997893,6.440046E-5
-37.387500000063,-9.0874999997893,1.3167735E-9
-37.112500000061,-9.0874999997893,1.2497897E-7
-37.0041666667269,-9.0874999997893,2.0465535E-8
-37.1458333333946,-9.09583333312271,1.4952691E-9
-40.4875000000859,-9.10416666645611,2.9827279E-5
-39.2375000000767,-9.10416666645611,9.765816E-4
-37.6541666667317,-9.10416666645611,4.4929882E-10
-39.4625000000784,-9.11249999978951,0.003162809
-39.9041666667483,-9.12083333312292,0.005995934
-39.370833333411,-9.12083333312292,3.4791778E-4
-38.8958333334075,-9.12083333312292,9.0762984E-4
-41.7375000000952,-9.12916666645632,3.087724E-5
-41.5708333334273,-9.13749999978973,3.898111E-5
-41.4041666667594,-9.13749999978973,2.7580336E-5
-39.137500000076,-9.13749999978973,0.0036175272
-37.5291666667308,-9.13749999978973,7.794258E-10
-41.670833333428,-9.14583333312313,1.7582477E-5
