Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.40565E-3,54.388193843,0.527244427,0.018571429,0.384615385,0
1.40612E-3,54.528806052,0.527328381,0.018428571,0.384615385,0
1.4166E-3,54.811927562,0.529179283,0.018142857,0.384615385,0
1.44103E-3,55.097733483,0.533436541,0.017857143,0.384615385,0
1.46781E-3,55.38893706,0.538016713,0.017571429,0.384615385,0
1.47783E-3,55.536719643,0.539705946,0.017428571,0.384615385,0
1.48186E-3,55.832850798,0.540382819,0.017142857,0.384615385,0
1.51172E-3,56.132481564,0.545333481,0.016857143,0.384615385,0
1.51185E-3,56.283666865,0.545355728,0.016714286,0.384615385,0
1.53042E-3,56.589050181,0.548380831,0.016428571,0.384615385,0
1.53442E-3,56.895647441,0.549027164,0.016142857,0.384615385,0
1.53455E-3,57.049101952,0.549047002,0.016,0.384615385,0
1.54429E-3,57.357431055,0.550613803,0.015714286,0.384615385,0
1.54897E-3,57.512327815,0.551362083,0.015571429,0.384615385,0
1.57258E-3,57.826295365,0.555101414,0.015285714,0.384615385,0
1.58156E-3,58.141889371,0.556507379,0.015,0.384615385,0
1.58323E-3,58.300212324,0.556767608,0.014857143,0.384615385,0
1.59746E-3,58.618532379,0.558975283,0.014571429,0.384615385,0
1.60209E-3,58.778741729,0.559688552,0.014428571,0.384615385,0
1.63152E-3,59.103039945,0.564169211,0.014142857,0.423076923,0
1.65727E-3,59.268767325,0.568015969,0.014,0.423076923,0
1.68434E-3,59.603230756,0.571986385,0.013714286,0.423076923,0
1.68605E-3,59.771835892,0.572235122,0.013571429,0.423076923,0
1.70883E-3,60.111947911,0.575516698,0.013285714,0.423076923,0
1.72852E-3,60.284799627,0.578312741,0.013142857,0.423076923,0
1.73322E-3,60.631388105,0.578975154,0.012857143,0.423076923,0
1.76754E-3,60.808141865,0.583746979,0.012714286,0.423076923,0
1.82077E-3,61.167548413,0.590938037,0.012428571,0.423076923,0
1.82861E-3,61.350409125,0.591976335,0.012285714,0.423076923,0
1.83034E-3,61.533442711,0.592204555,0.012142857,0.423076923,0
1.85555E-3,61.902708794,0.595504267,0.011857143,0.423076923,0
1.85704E-3,62.088412506,0.595697401,0.011714286,0.423076923,0
1.87066E-3,62.275478899,0.597456992,0.011571429,0.461538462,0
1.88548E-3,62.651497229,0.599352647,0.011285714,0.461538462,0
1.91411E-3,62.842907877,0.602965755,0.011142857,0.461538462,0
1.92529E-3,63.03543709,0.604359837,0.011,0.461538462,0
1.9669E-3,63.424966067,0.609460835,0.010714286,0.5,0
1.98451E-3,63.504251787,0.611580207,0.010571429,0.5,0
2.01346E-3,63.827470376,0.615015359,0.010428571,0.538461538,0
2.019E-3,64.029370551,0.61566541,0.010285714,0.538461538,0
2.05697E-3,64.440614729,0.620063732,0.01,0.576923077,0
2.06556E-3,64.647170311,0.621045052,0.009857143,0.576923077,0
2.10179E-3,64.85734947,0.625129234,0.009714286,0.576923077,0
2.11377E-3,65.068726691,0.626460291,0.009571429,0.576923077,0
2.13293E-3,65.282019428,0.628568915,0.009428571,0.576923077,0
2.16961E-3,65.712408071,0.632540896,0.009142857,0.576923077,0
2.18431E-3,65.892022548,0.634109202,0.009,0.576923077,0
2.21833E-3,66.152991805,0.637687101,0.008857143,0.615384615,0
2.23621E-3,66.376612621,0.639540096,0.008714286,0.615384615,0
2.25057E-3,66.601669226,0.641014184,0.008571429,0.615384615,0
2.30721E-3,66.832390381,0.646714089,0.008428571,0.615384615,0
2.34212E-3,67.066602686,0.650137748,0.008285714,0.615384615,0
2.34549E-3,67.301152017,0.650464749,0.008142857,0.615384615,0
2.35534E-3,67.536685736,0.651416368,0.008,0.615384615,0
2.35991E-3,67.77267711,0.651857025,0.007857143,0.615384615,0
2.37646E-3,68.010323451,0.653441272,0.007714286,0.615384615,0
2.39842E-3,68.250165006,0.655520563,0.007571429,0.615384615,0
2.58088E-3,68.508252812,0.671883584,0.007428571,0.692307692,0
2.60743E-3,68.768995973,0.674136191,0.007285714,0.692307692,0
2.66071E-3,69.035066648,0.678563648,0.007142857,0.692307692,0
2.69571E-3,69.304637211,0.681407345,0.007,0.692307692,0
2.72115E-3,69.576752342,0.683443449,0.006857143,0.692307692,0
2.75136E-3,69.851888323,0.685827127,0.006714286,0.692307692,0
2.80499E-3,70.07657981,0.689971485,0.006571429,0.692307692,0
2.91373E-3,70.425124427,0.698048129,0.006428571,0.730769231,0
2.98249E-3,70.723373775,0.702941928,0.006285714,0.730769231,0
3.0501E-3,71.028383973,0.707601187,0.006142857,0.730769231,0
3.12135E-3,71.34051869,0.712355479,0.006,0.730769231,0
3.14455E-3,71.654973371,0.71387043,0.005857143,0.730769231,0
3.14642E-3,71.969615655,0.713992239,0.005714286,0.730769231,0
3.16133E-3,72.285748454,0.714956343,0.005571429,0.730769231,0
3.27384E-3,72.613132722,0.722029574,0.005428571,0.730769231,0
3.31472E-3,72.944605084,0.724513384,0.005285714,0.730769231,0
3.35262E-3,73.279866837,0.726776396,0.005142857,0.730769231,0
3.43661E-3,73.623527781,0.731662201,0.005,0.730769231,0
3.52509E-3,73.9760363,0.736623346,0.004857143,0.730769231,0
3.61267E-3,74.123566548,0.74135684,0.004714286,0.730769231,0
3.74756E-3,74.350791845,0.748323472,0.004714286,0.769230769,0
3.77805E-3,74.728596753,0.749846671,0.004571429,0.769230769,0
3.80534E-3,75.109130926,0.751194426,0.004428571,0.769230769,0
3.88194E-3,75.497324533,0.754900363,0.004285714,0.769230769,0
3.94527E-3,75.55431515,0.757882366,0.004142857,0.769230769,0
4.36728E-3,75.934052335,0.77603831,0.004142857,0.846153846,0
4.57666E-3,76.391718422,0.784072131,0.004,0.846153846,0
4.63335E-3,76.855053335,0.786149012,0.003857143,0.846153846,0
4.82624E-3,77.337677135,0.792926089,0.003714286,0.846153846,0
4.83886E-3,77.821563301,0.793354672,0.003571429,0.846153846,0
4.86359E-3,78.307922007,0.794188999,0.003428571,0.846153846,0
4.99129E-3,78.807051215,0.79839317,0.003285714,0.846153846,0
5.13201E-3,79.320251846,0.802831098,0.003142857,0.846153846,0
5.17449E-3,79.837700394,0.80413269,0.003,0.846153846,0
5.20685E-3,80.358385522,0.805112925,0.002857143,0.846153846,0
5.36688E-3,80.821755653,0.809818962,0.002714286,0.846153846,0
5.52707E-3,81.450403173,0.814307209,0.002571429,0.884615385,0
5.86238E-3,82.036640728,0.82304885,0.002428571,0.884615385,0
6.15992E-3,82.652632681,0.830144352,0.002285714,0.884615385,0
6.17481E-3,83.270113268,0.830484428,0.002142857,0.884615385,0
6.18141E-3,83.888254204,0.830634848,0.002,0.884615385,0
6.94835E-3,84.277288257,0.846458645,0.001857143,0.884615385,0
7.69924E-3,84.658178028,0.859326621,0.001857143,0.961538462,0
7.90392E-3,85.448570392,0.862468571,0.001714286,0.961538462,0
8.14569E-3,86.263139092,0.86600353,0.001571429,0.961538462,0
8.25602E-3,87.088741224,0.867557102,0.001428571,0.961538462,0
8.63036E-3,87.951776982,0.872569688,0.001285714,0.961538462,0
8.64906E-3,88.049260616,0.872810176,0.001142857,0.961538462,0
8.79916E-3,88.831692969,0.87470801,0.001142857,1,0
9.66794E-3,89.798487061,0.884668489,0.001,1,0
1.06222E-2,90.860706251,0.89393039,0.000857143,1,0
1.14959E-2,92.010300932,0.901195714,0.000714286,1,0
1.16484E-2,93.175141896,0.902362669,0.000571429,1,0
1.28529E-2,94.460435495,0.910695703,0.000428571,1,0
1.37443E-2,95.83486247,0.916000721,0.000285714,1,0
4.16514E-2,100,0.970628567,0.000142857,1,0
