datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2018-05-14 17:33:18-03"	F	FMNH-SEEDPLANTS	V0164076F	"Mimosa lewisii"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Fabaceae	Mimosa	lewisii			"RRC ID Flag"					47462	47462	"G. Hatschbach"						"South America"	Brazil	Bahia			-42	-11																V0164076F
"2020-07-16 09:26:17-03"	MBM	MBM	101441	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Barneby, R."	1984			PARATYPE	30988		"Irwin, H.S.; Harley, R.M.; Smith, G.L.; Harley, R.M.; Smith, G.L."	1971	02	25			"Southern America"	Brazil	Bahia		"Serra da Água de Rega, Rio Riachão, ca. 27 km N of Seabra, road to Água de Rega"	0	0					1000	1000									"Armed shrub to ca. 3m tall, with long ascending branches. Heads white. Gallery margin. Cut-over gallery, exposed rocks, and adjacent cerrado; Armed shrub to ca. 3m tall, with long ascending branches. Heads white.; Gallery margin. Cur"	MBM101441
"2020-07-16 09:26:17-03"	MBM	MBM	105403	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby					ISOTYPE	854		"Lewis, G.P.; et al.; et al."	1981	12	18			"Southern America"	Brazil	Bahia	Palmeiras	"km 232 da rodovia BR 242 para Ibotirama. Pai Inácio."	-41.45	-12.5					775	775									"Shrub to small tree to 4m, overhanging river in more open aspects upper surface of leaflets shiny dark-green; lower surface paler; ypung fruit green tinged red; mature fruit brown, papery; calyx pale yellow, corolla greenish, stames"	MBM105403
"2020-07-16 09:26:17-03"	MBM	MBM	136588	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby					PARATYPE	22861		"Harley, R.M.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Santos, E.B"	1980	05	31			"Southern America"	Brazil	Bahia	"Morro do Chapéu"	"Rio do Ferro Doido, 19.5 km SE of Morro do Chapéu on the BA 052 highway to Mundo Novo"	0	0	-41.1561012268066	-11.5500001907349	98143		900	900									"Spiny shrub to 2m with spreading stems, with reddish bristles above. Calyx & corolla pale green, anthers greenish-yellow with rigid whitish filaments. Vegetation open acrub to closed low woodland in drier areas. This plant growing by"	MBM136588
"2020-07-16 09:26:17-03"	MBM	MBM	136589	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby					PARATYPE	22411		"Harley, R.M.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Santos, E.B"	1980	05	23			"Southern America"	Brazil	Bahia	Palmeiras	"Serra dos Lençóis, Lower slopes of Morro do Pai Inácio ca. 14.5 km NW of Lençóis, just N of the main Seabra-Itaberaba road."	0	0	-41.5588989257812	-12.5289001464844	20767		700	1000									"Spiny shrub to 3.5 m. Leaves mid green glossy above, paler beneath. Calyx and corolla greenish white. Stamens white. Pods green, tinged redish brown. Open grassy slopes with marchy ground, low shrubs and low evergreen woodland in val"	MBM136589
"2020-07-16 09:26:17-03"	MBM	MBM	136590	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby					PARATYPE	22275		"Harley, R.M.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Santos, E.B"	1980	05	21			"Southern America"	Brazil	Bahia	Palmeiras	"Serra dos Lençóis, Lower slopes of Morro do Pai Inácio, ca. 14.5 km NW of Lençóis just N of the main Seabra-Itaberaba road."	0	0	-41.5588989257812	-12.5289001464844	20767		700	1000									"Tree to 5m with prickly stems. Flower buds green. Fruit glossy green, tinged dark red. Opes grassy slopes with marshy ground; low shrubs and low evergreen woodland in valleys by small stream and in shelter of sandstone rocks.; Tree t"	MBM136590
"2020-07-16 09:26:17-03"	MBM	MBM	142887	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Lewis, G.P."					2347		"Hage, J.L.; et al.; et al."						"Southern America"	Brazil	Bahia	"Morro do Chapéu"	"2km em direção a Feira de Santana"	0	0	-41.1561012268066	-11.5500001907349	98143													MBM142887
"2020-07-16 09:26:17-03"	MBM	MBM	149686	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Barneby, R."					56906		"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E."						"Southern America"	Brazil	Bahia	Palmeiras	"Palmeiras, km 9 da rodovia para Mucugê"	0	0	-41.5588989257812	-12.5289001464844	20767													MBM149686
"2020-07-16 09:26:17-03"	MBM	MBM	168456	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Queiróz, L.P. de"					3445		"Queiróz, L.P. de; et al.; et al."						"Southern America"	Brazil	Bahia	"Morro do Chapéu"	"Morro do Chapéu"	0	0	-41.1561012268066	-11.5500001907349	98143													MBM168456
"2020-07-16 09:26:17-03"	MBM	MBM	182682	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Barneby, R."					63085		"Hatschbach, G.; Hatschbach, M.; Motta, J.T.; Hatschbach, M.; Motta, J.T."						"Southern America"	Brazil	Bahia	Camaçari	"Rodovia Linha Verde, próximo de Arembepe"	0	0	-38.3241996765137	-12.6975002288818	37124													MBM182682
"2020-07-16 09:26:17-03"	MBM	MBM	186222	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Queiróz, L.P. de"					3734		"Queiróz, L.P. de; et al.; et al."						"Southern America"	Brazil	Bahia	"Santa Brígida"	"10km W do entroncamanto de Santa Brígida com a Rod. BR-110"	0	0	-38.127799987793	-9.73610973358154	28348													MBM186222
"2020-07-16 09:26:17-03"	MBM	MBM	186224	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Queiróz, L.P. de"					3704		"Queiróz, L.P. de; et al.; et al."						"Southern America"	Brazil	Bahia	Tucano	"7km NE de Tucano na estrada para Ribeira do Pombal, Rod. BR-410"	0	0	-38.7867012023926	-10.9631004333496	55392													MBM186224
"2020-07-16 09:26:17-03"	MBM	MBM	206168	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Queiróz, L.P. de"					3756		"Queiróz, L.P. de; et al.; et al."						"Southern America"	Brazil	Bahia	Itapicuru	"Ca. 8km SE do Entroncamento para o Rio Real com a Rod. BR-349"	0	0	-38.2332992553711	-11.3166999816895	45949													MBM206168
"2020-07-16 09:26:17-03"	MBM	MBM	206923	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Barneby, R."					3897		"Carvalho, A.M. de; et al.; et al."						"Southern America"	Brazil	Bahia	Tucano	"Km 7-10 na estrada de Tucano para Ribeira do Pombal"	0	0	-38.7867012023926	-10.9631004333496	55392													MBM206923
"2020-07-16 09:26:17-03"	MBM	MBM	231385	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Queiróz, L.P. de"					4546		"Queiróz, L.P. de; et al.; et al."						"Southern America"	Brazil	Bahia	Inhambupe	"28km N de Inhambuque"	0	0	-38.353099822998	-11.7843999862671	34892													MBM231385
"2020-07-16 09:26:17-03"	MBM	MBM	87747	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Barneby, R."	1984			PARATYPE	47462		"Hatschbach, G."	1984	01	22			"Southern America"	Brazil	Bahia	Mucugê	"Serra do Sincorá, 15 km S de Mucugê"	0	0	-41.3708000183105	-13.0052995681763	52493												"Arbusto ramoso, espinho, 2,50m. Flores alvas. Campo rupestre, margens córrego; Arbusto ramoso, espinhoso, 2,50m, flores alvas.; Campo rupestre, margens de córrego."	MBM087747
"2020-07-16 09:26:17-03"	MBM	MBM	91895	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Lewis, G.P."	1985			PARATYPE	47968		"Hatschbach, G.; Kummrow, R.; Kummrow, R."	1984	06	16			"Southern America"	Brazil	Bahia	Mucugê	"Rio Mucugê"	0	0	-41.3708000183105	-13.0052995681763	52493												"Arbusto ramoso, 1,50m, flor alva. Campo rupestre, margens rio; Arbusto ramoso 1,50m, flor alva.; Campo rupestre, margens de rio."	MBM091895
"2019-10-09 11:16:35-03"	UFBA	ALCB	000298	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Guedes, ML"	1991	10			s/n		"Pinto, GCP"	1971	07				"Southern America"	Brasil	Bahia	Olindina	"Nordeste, Tabuleiro Cipó"	0	0	-38.3333015441895	-11.3667001724243	25403													
"2019-10-09 11:16:35-03"	UFBA	ALCB	000299	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Guedes, ML"	1991	10			s/n		"Costa, AL"	1968	12	01			"Southern America"	Brasil	Bahia	Serrinha	"Nordeste, Fazenda Mucambo"	0	0	-39.0074996948242	-11.6641998291016	29840													
"2019-10-09 11:16:35-03"	UFBA	ALCB	000300	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Guedes, ML"	1991	10			s/n		"Costa, AL"	1964	01	21			"Southern America"	Brasil	Bahia	Olindina	"Nordeste, Cipó, 3 Km antes da cidade"	0	0	-38.3333015441895	-11.3667001724243	25403												"flores alvas."	
"2019-10-09 11:16:35-03"	UFBA	ALCB	001318	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Guedes, ML"	1991	10			s/n		"Costa, AL"	1973	02	03			"Southern America"	Brasil	Bahia	"Ribeira do Pombal"	"Nordeste, estre Pombal e Tucano"	0	0	-38.5358009338379	-10.834400177002	30221												"nos tabuleiros."	
"2019-10-09 11:16:35-03"	UFBA	ALCB	00298	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Guedes, ML"	1991	10			s/n		"Pinto, GCP"	1971	07				"Southern America"	Brasil	Bahia	Cipó	"Nordeste, Olindina"	-38.516667	-11.1																ALCB023926
"2019-10-09 11:16:35-03"	UFBA	ALCB	00299	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Guedes, ML"	1991	10			s/n		"Costa, AL"	1968	12	01			"Southern America"	Brasil	Bahia	Serrinha	"Nordeste, Fazenda Mucambo"	-39	-11.65																ALCB024022
"2019-10-09 11:16:35-03"	UFBA	ALCB	00300	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Guedes, ML"	1991	10			s/n		"Costa, AL"	1964	01	21			"Southern America"	Brasil	Bahia	Cipó	"Nordeste, 3 Km antes da cidade"	-38.516667	-11.1															"Flores alvas."	ALCB023928
"2019-10-09 11:16:35-03"	UFBA	ALCB	004615	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Guedes, ML"	1991	10			s/n		"Costa, AL"	1967	10				"Southern America"	Brasil	Bahia	Salvador	"Região Metropolitana Salvador, Lagoa do Abaeté."	-38.35	0																
"2019-10-09 11:16:35-03"	UFBA	ALCB	010485	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Queiroz, LP de"	1996	06			s/n		"Santana, W"	1979	10	14			"Southern America"	Brasil	Bahia	Lençóis	"Chapada Diamantina, Vale do Rio Mucugezinho"	0	0	-41.3899993896484	-12.563099861145	47385													
"2019-10-09 11:16:35-03"	UFBA	ALCB	010485	"Mimosa lewisii"	PreservedSpecimen	Plantae	Dicotyledon			Fabaceae	Mimosa	lewisii		Barneby	"Queiroz, LP de"	1996	06			s/n		"Santana, W"	1979	10	14			"Southern America"	Brasil	Bahia	Lençóis	"Chapada Diamantina, Vale do Rio Mucugezinho"	0	0	-41.3899993896484	-12.563099861145	47385													
