"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality","Collector","identified _ by","identified _ date","Record number","raw _ sampling _ protocol","event _ id","Occurrence status assumed to be present","Coordinates are out of range for species","Country inferred from coordinates","Coordinates derived from verbatim coordinates","First of the month","Geodetic datum assumed WGS84","Incomplete collection date","Invalid collection date","Name not in national checklists","Precision / range mismatch","Supplied country not recognised","Collection code not recognised","Institution code not recognised","Type status not recognised"
"8c2daa46-877c-4f5f-946d-a2af0064de1b","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Saco Dos Buracos","-13076306","-43296917","","-1.3076306E7","-4.3296917E7","","","","","","","","1","2009","08","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"5a34fc85-f12e-4420-a8e4-ea8973f12326","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Saco Dos Buracos","-13076306","-43296917","","-1.3076306E7","-4.3296917E7","","","","","","","","1","2009","08","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"5338ee09-7d23-4f1c-bb2c-b578cc48961c","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Barra Do Tijuípe (Área 2)","-14425089","-3902234","","-1.4425089E7","-3902234.0","","","","","","","","1","2015","08","PreservedSpecimen","PreservedSpecimen","present","","true","false","Rodrigo De Almeida Nobre","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"4be98631-1c6f-42de-b1bf-7c430ce99ae0","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Saco Dos Buracos","-13076306","-43296917","","-1.3076306E7","-4.3296917E7","","","","","","","","1","2009","08","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"d4590257-43e4-408e-ad6a-f60f3b309656","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Caverna Casa De Pedra - Povoado Ribeira","-10834167","-37450556","","-1.0834167E7","-3.7450556E7","","","","","","","","1","2012","06","PreservedSpecimen","PreservedSpecimen","present","","true","false","Patricio Adriano Da Rocha","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"d2a71a36-8901-4681-885b-4aec9accf4a2","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Área De Cerrado Com Presença De Cavernas","-13419783","-44191378","","-1.3419783E7","-4.4191378E7","","","","","","","","1","2014","06","PreservedSpecimen","PreservedSpecimen","present","","true","false","Adriano Lúcio Peracchi","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"98fb28c0-b9c0-4e41-95ee-da92a8773914","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Saco Dos Buracos","-13076306","-43296917","","-1.3076306E7","-4.3296917E7","","","","","","","","1","2010","06","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","true","true","false","false","true","false","true","false","false","false"
"9672c33a-ceb1-47a1-83f7-b359e101517f","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Tamanduá","-7088611","-37456389","","-7088611.0","-3.7456389E7","","","","","","","","1","2011","06","PreservedSpecimen","PreservedSpecimen","present","","true","false","Mário Marcos Do Espírito Santo","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"59b7bde8-3cd3-4bf2-b4f0-18a07c149e34","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Área De Cerrado Com Presença De Cavernas","-13419783","-44191378","","-1.3419783E7","-4.4191378E7","","","","","","","","1","2014","06","PreservedSpecimen","PreservedSpecimen","present","","true","false","Adriano Lúcio Peracchi","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"4a4a3907-3098-45cf-a09b-470709c239d5","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","SISBIO-DIBIO","Pedra Grande","-3534447","-43839702","","-3534447.0","-4.3839702E7","","","","","","","","1","2014","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","Ciro Líbio Caldas Dos Santos","","","Nº Da Autorização/Licença Sisbio: 43376, Projeto: Morcegos No Cerrado Maranhense: Padrões De Diversidade Genética E Associação Com A Paisagem","","","true","true","false","false","false","true","false","false","true","false","true","true","true","false"
"fb128b56-ea0a-4785-a4f6-f2792716189e","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Quincas","-13346111","-43284639","","-1.3346111E7","-4.3284639E7","","","","","","","","1","2009","11","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
