datelastmodified,scientificname,catalognumber,country,stateprovince,county,locality,latitude_final,longitude_final
2020-07-23T15:14:33Z,Mimosa lewisii,35142,Brasil,Bahia,palmeiras,Mucugezinho. Ao lado do Rio.,-12.466667,-41.433333
2020-07-23T15:14:33Z,Mimosa lewisii,35150,Brasil,Bahia,LENÇÓIS,"Margem do Rio Lencois, acima do Serrano.",-12.566667,-41.383333
2020-07-23T15:14:33Z,Mimosa lewisii,50373,Brasil,Bahia,SALVADOR,Arredores Lagoa de Abaete. Itapua.,-12.966667,-38.366667
2020-07-23T15:14:33Z,Mimosa lewisii,62295,Brasil,Bahia,MORRO DO CHAPÉU,"12Km SE cidade, BA-052 ( estr. do feijao).",-11.602222,-41.056944
2020-07-23T15:14:33Z,Mimosa lewisii,68522,Brasil,Bahia,tucano,"7Km NE cidade, estr. p/ R. do Pombal, BR-410.",-10.866667,-38.65
2020-07-23T15:14:33Z,Mimosa lewisii,72603,Brasil,Bahia,MATA DE SÃO JOÃO,Sto. Antonio. Presença de areas umidas.,-12.383333,-37.883333
2020-09-02T19:29:11Z,Mimosa lewisii,21725,Brasil,DF,BRASILIA,"Proximidades da cidade de Lençóis, margens do rio São José.",-15.7797002792358,-47.9296989440918
2020-09-02T19:29:11Z,Mimosa lewisii,76952,Brasil,BA,MORRO DO CHAPEU,"Brasil - Bahia - Morro do Chapeu ca. 1,7 Km E de Morro do chapeu na BA 052 , campo rupestre..",-11.563333,-41.142222
2020-09-02T19:29:11Z,Mimosa lewisii,78125,Brasil,BA,MORRO DO CHAPEU,Ao longo da estrada Morro do Chapéu - Ipira.,-11.5375,-41.184444
2020-09-02T19:29:11Z,Mimosa lewisii,83701,Brasil,PE,BUIQUE,"Parque Nacional da Serra do Catimbau, próximo a pedra do Dragão",-8.5327777,-37.252222
2020-09-02T19:29:11Z,Mimosa lewisii,84611,Brasil,BA,LENCOIS,"Mucugezinho, próximo à Toca dos Patos, na margem do rio Mucugezinho.",-12.457222,-41.416666
2020-09-12T08:00:02Z,Mimosa lewisii,3573192,Brazil,Bahia,NA,"Serras dos Lençois, lower slope sof Morro do Pai Inácio ca. 14.5 km N.W. of Lençois, just N. of the main Seabra, itaberaba road, Município of Palmeiras, open grassy slopes with marshy ground, in shelter of sandstone rocks",-12.45,-41.47
2020-11-04T14:10:00Z,Mimosa lewisii,74566,Brasil,Bahia,Morro do Chapéu,"Estrada para Jacobina, cerca de 7 km de Morro do Chapéu. Caatinga.",-114.975,-411.192
2020-11-15T19:31:00Z,Mimosa lewisii,02478909,Brazil,Bahia,Andaraí,"Na beirada estrada para Igatu, próxima à afloramento",-12.88447,-41.30714
2020-11-15T19:31:00Z,Mimosa lewisii,1146720,Brazil,Bahia,Morro do Chapéu,Chapada Diamantina,-11.62,-41.0014
2020-11-15T19:31:00Z,Mimosa lewisii,2063259,Brazil,Bahia,Morro do Chapéu,"Estrada para Jacobina, ca. de 7 km de Morro de Chapéu.",-11.4975,-41.1192
2020-11-15T19:31:00Z,Mimosa lewisii,2888,Brazil,Bahia,Palmeiras,Km 232 da rodovia BR 242 para Ibotirama. Pai Inácio. Alt. 775 m.,-12.5292,-41.5589
2020-11-15T19:31:00Z,Mimosa lewisii,442582,Brazil,Pernambuco,Buíque,"Catimbau, Serra do Catimbau",-8.62,-37.17
2020-11-15T19:31:00Z,Mimosa lewisii,442585,Brazil,Bahia,Morro do Chapéu,"Serra do Tombador. Rio Ferro Doido, ca. 18km E of Morro do Chapéu",-11.5503,-41.1558
2020-11-15T19:31:00Z,Mimosa lewisii,442587,Brazil,Bahia,Seabra,"Serra da Agua de Rega. Rio Riachao, ca. 27km N of Seabra, road to Agua de Rega",-12.4186,-41.7703
2020-11-15T19:31:00Z,Mimosa lewisii,442589,Brazil,Bahia,NA,Serra do Sincorá. 6km N of Cascavel on the road to Mucugé. F6,-13.1,-41.42
2020-11-15T19:31:00Z,Mimosa lewisii,442592,Brazil,Bahia,Morro do Chapéu,"Rio do Ferro Doido, 19.5km SE of Morro do Chapéu on the BA 052 highway to Mundo Novo. D6",-11.63,-41.03
2020-11-15T19:31:00Z,Mimosa lewisii,442594,Brazil,Bahia,NA,Serra do Curral Feio. 16km NW of Lagoinha (5.5km SW of Delfino) on side road to Minas do Mimoso,-10.37,-41.33
2020-11-15T19:31:00Z,Mimosa lewisii,442596,Brazil,Bahia,Salvador,"Dunas de Itapua, arredores da Lagoa de Abaeté",-12.93,-38.35
2020-11-15T19:31:00Z,Mimosa lewisii,442600,Brazil,Bahia,Salvador,"Dunas de Itapua, arredores da Lagoa de Abaeté",-12.97,-38.37
2020-11-15T19:31:00Z,Mimosa lewisii,442601,Brazil,Bahia,Lençóis,Ca. 8-10km NW de Lençois. Estrada para Barro Branco,-12.53,-41.33
2020-11-15T19:31:00Z,Mimosa lewisii,442602,Brazil,Bahia,NA,Jeremoabo. Folha SC. 24-Z-A. Ponto 12,-10.22,-38.5
