ID,Estado,Municipio,Localidade,Longitude,Latitude,Data_de_coleta,Nome_do_coletor,Referencia
NA,Rio de Janeiro,Miracema,Fazenda Prosperidade Paraíso Tobias,-43.070000,-21.400000,NA,"Esbérard, C.E.L., M. Baptista et al. 2010","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1989"
NA,Rio de Janeiro,Mangaratiba,Reserva Rio das Pedras,-43.100000,-22.990000,NA,"Luz, J.L., L.M. Costa et al 2010","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1990"
NA,Rio de Janeiro,Guapimirim/Cachoeira de Macacu,Estação Ecológica Estadual Paraíso,-42.907222,-22.320000,NA,"Esberárd, C.E.L. 2007","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1991"
NA,Rio de Janeiro,Sepetiba,Ilha de Marambaia,-43.500000,-23.070000,NA,"Lourenço, E.C., L.M. Costa et al. 2010","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1992"
NA,Rio de Janeiro,Angra dos Reis,Vila do Abraão/Ilha Grande,-44.170000,-23.120000,NA,"Taddei, V.A., S.A. de Souza and J.L. Manuzzi.1988.","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1993"
NA,Rio de Janeiro,Angra dos Reis,Ilha Grande,-44.250000,-23.140000,NA,"Esberárd, C.E.L., T. Jordão-Nogueira et al. 2006","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1994"
NA,Rio de Janeiro,Angra dos Reis,Ilha da Gipóia,-44.360000,-23.040000,NA,"Esberárd, C.E.L. 2009","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1995"
NA,Rio de Janeiro,Nova Iguaçu/Mesquita,Parque Natural Municipal de Nova Iguaçu,-43.470000,-22.790000,NA,"Novaes, R.M., F.A.P. Mello et al. 2011","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1996"
NA,Rio de Janeiro,Nova Iguaçu,Reserva Biológica de Tinguá,-43.400000,-22.550000,NA,"Dias, D. and A.L. Peracchi. 2008","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1997"
NA,Minas Gerais,Diamantina,NA,-43.516667,-18.383333,NA,"Dias, D., C. E. L. Esbérard, & R. Moratelli. ","Artigo: FIRST RECORD OF Lonchophylla bokermanni (CHIROPTERA, PHYLLOSTOMIDAE) FOR THE CAATINGA BIOME Vinícius C. Cláudio et al. 2018"
NA,Minas Gerais,Diamantina,Fazenda Santa Cruz,-43.383333,-18.383333,2011,"Brunna Almeida, Roberto Leonan Morim Novaes et al.","Artigo: Karyotype of three Lonchophylla species (Chiroptera, Phyllostomidae) from Southeastern Brazil Brunna Almeida,1,2 Roberto Leonan Morim Novaes et al. 2016"
NA,Bahia,Caetité,NA,-42.500000,-14.266667,2018,Vinícius C. Cláudio et al. 2018,"Artigo: FIRST RECORD OF Lonchophylla bokermanni (CHIROPTERA, PHYLLOSTOMIDAE) FOR THE CAATINGA BIOME Vinícius C. Cláudio et al. 2018"
NA,Bahia,Ourolândia,NA,-41.083333,-11.083333,2018,Vinícius C. Cláudio et al. 2018,"Artigo: FIRST RECORD OF Lonchophylla bokermanni (CHIROPTERA, PHYLLOSTOMIDAE) FOR THE CAATINGA BIOME Vinícius C. Cláudio et al. 2018"
NA,Rio de Janeiro,Silva Jardim e Casimiro de Abreu,"Reserva Biológica Poço das Antas (Lat: -22.50000000 - -22.55000000, Long: -49.25000000 - -42.31666667 )",NA,NA,1997 - 1999,Marco Aurelio Ribeiro Mello,"Artigo: Preliminary inventory of the bat species of the Poço das Antas Reserve, RJ"
ALP 6482,Rio de Janeiro,Teresópolis,Parque Nacional da Serra dos Órgãos,NA,NA,2001-2003,Ricardo Moratelli ; Adriano Lúcio Peracchi,"Artigo: Morcegos (Mammalia, Chiroptera) do Parque Nacional da Serra dos Órgãos, Ricardo Moratelli, Adriano Lúcio Peracchi
"
LDM 4424,Rio de Janeiro,Mangaratiba,"Restinga da Marambaia (Latitude: -23.066667, Longitude: -43.883333)
",NA,NA,2006-2008,"Lourenço, EC., Costa, LM., Silva, RM. and Esbérard, CEL","Artigo: Bat diversity of Ilha da Marambaia, Southern Rio de Janeiro State, Brazil (Chiroptera, Mammalia) Lourenço, EC., Costa, LM., Silva, RM. and Esbérard, CEL"
